player,role,amount,team,year,player_origin
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas
Ajantha Mendis,Bowler,54375000,Pune Warriors India,2013,Overseas
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian
Akhil Arvind Herwadkar,All-Rounder,1000000,Delhi Daredevils,2016,Indian
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013,Overseas
Akila Dhananjaya,Bowler,5000000,Mumbai Indians,2018,Overseas
Akshar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015,Indian
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019,Indian
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015,Overseas
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020,Overseas
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018,Indian
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018,Indian
Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014,Indian
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014,Overseas
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020,Overseas
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017,Overseas
Aniket Choudhary,Bowler,3000000,Royal Challengers Bangalore,2018,Indian
Anirudha Ashok Joshi,All-Rounder,2000000,Rajasthan Royals,2020,Indian
Ankeet Bawane,Batsman,1000000,Delhi Daredevils,2017,Indian
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014,Indian
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018,Indian
Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019,Indian
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019,Indian
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019,Overseas
Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020,Indian
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018,Indian
Anureet Singh,Bowler,3000000,Rajasthan Royals,2018,Indian
Apoorv Vijay Wankhade,Batsman,2000000,Kolkata Knight Riders,2018,Indian
Arjun Tendulkar,All-Rounder,2000000,Mumbai Indians,2021,Indian
Armaan Jaffer,Batsman,1000000,Kings XI Punjab,2016,Indian
Arshdeep Singh,Bowler,2000000,Kings XI Punjab,2019,Indian
Aryaman Vikram Birla,All-Rounder,3000000,Rajasthan Royals,2018,Indian
Asela Gunarathna,Batsman,3000000,Mumbai Indians,2017,Overseas
Ashish Nehra,Bowler,55000000,Sunrisers Hyderabad,2016,Indian
Ashish Reddy,Bowler,2000000,Sunrisers Hyderabad,2014,Indian
Ashok Dinda,Bowler,5000000,Rising Pune Supergiant,2016,Indian
Ashton Turner,All-Rounder,5000000,Rajasthan Royals,2019,Indian
Asif K M,Bowler,4000000,Chennai Super Kings,2018,Indian
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018,Indian
Axar Rajesh Patel,All-Rounder,50000000,Delhi Capitals,2019,Indian
Baba Aparajith,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian
Bandaru Ayyappa,Bowler,2000000,Delhi Capitals,2019,Indian
Barinder Singh Saran,Bowler,1000000,Rajasthan Royals,2015,Indian
Barinder Singh Sran,Bowler,34000000,Mumbai Indians,2019,Indian
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018,Indian
Ben Cutting,All-Rounder,7500000,Kolkata Knight Riders,2021,Overseas
Ben Dunk,Wicket Keeper,2000000,Mumbai Indians,2014,Overseas
Ben Dwarshuis,Bowler,14000000,Kings XI Punjab,2018,Overseas
Ben Hilfenhaus,Bowler,10000000,Chennai Super Kings,2014,Overseas
Ben Laughlin,Bowler,5000000,Rajasthan Royals,2018,Overseas
Benjamin Stokes,All-Rounder,125000000,Rajasthan Royals,2018,Overseas
Beuran Hendricks,Bowler,18000000,Kings XI Punjab,2014,Overseas
Bhuvneshwar Kumar,Bowler,42500000,Sunrisers Hyderabad,2014,Overseas
Billy Stanlake,Batsman,5000000,Sunrisers Hyderabad,2018,Overseas
Bipul Sharma,All-Rounder,2000000,Sunrisers Hyderabad,2018,Indian
Brad Hodge,Batsman,24000000,Rajasthan Royals,2014,Overseas
Brad Hogg,Bowler,5000000,Kolkata Knight Riders,2015,Overseas
Brendan Taylor,Wicket Keeper,3000000,Sunrisers Hyderabad,2014,Overseas
Brendon McCullum,Batsman,36000000,Royal Challengers Bangalore,2018,Overseas
C Hari Nishaanth,Batsman,2000000,Chennai Super Kings,2021,Indian
C.M. Gautam,Wicket Keeper,2000000,Delhi Daredevils,2015,Indian
Cameron Delport,All-Rounder,3000000,Kolkata Knight Riders,2018,Overseas
Carlos Brathwaite,All-Rounder,50000000,Kolkata Knight Riders,2019,Overseas
Chaitanya Bishnoi,All-Rounder,2000000,Chennai Super Kings,2018,Indian
Chama Milind,Bowler,1000000,Delhi Daredevils,2016,Indian
Chetan Sakariya,Bowler,12000000,Rajasthan Royals,2021,Indian
Cheteshwar Pujara,Batsman,5000000,Chennai Super Kings,2021,Indian
Chirag Suri,Batsman,1000000,Gujarat Lions,2017,Indian
Chris Green,All-Rounder,2000000,Kolkata Knight Riders,2020,Overseas
Chris Jordan,All-Rounder,30000000,Kings XI Punjab,2020,Overseas
Chris Lynn,Batsman,20000000,Mumbai Indians,2020,Overseas
Chris Woakes,All-Rounder,15000000,Delhi Capitals,2020,Overseas
Christopher Barnwell,All-Rounder,3750000,Royal Challengers Bangalore,2013,Overseas
Christopher Gayle,Batsman,20000000,Kings XI Punjab,2018,Overseas
Christopher Morris,All-Rounder,162500000,Rajasthan Royals,2021,Overseas
Clinton McKay,Bowler,7500000,Sunrisers Hyderabad,2013,Overseas
Colin De Grandhomme,All-Rounder,22000000,Royal Challengers Bangalore,2018,Overseas
Colin Ingram,Batsman,64000000,Delhi Capitals,2019,Overseas
Colin Munro,All-Rounder,19000000,Delhi Daredevils,2018,Overseas
Corey Anderson,All-Rounder,10000000,Delhi Daredevils,2017,Overseas
Dale Steyn,Bowler,20000000,Royal Challengers Bangalore,2020,Overseas
Dan Christian,All-Rounder,48000000,Royal Challengers Bangalore,2021,Overseas
Daniel Christian,All-Rounder,15000000,Delhi Daredevils,2018,Overseas
Darcy Short,All-Rounder,40000000,Rajasthan Royals,2018,Overseas
Darren Bravo,Batsman,5000000,Kolkata Knight Riders,2017,Overseas
Darren Sammy,All-Rounder,3000000,Kings XI Punjab,2017,Overseas
Darshan Nalkande,All-Rounder,3000000,Kings XI Punjab,2019,Indian
David Miller,Batsman,7500000,Rajasthan Royals,2020,Overseas
David Warner,Batsman,55000000,Sunrisers Hyderabad,2014,Overseas
David Wiese,All-Rounder,28000000,Royal Challengers Bangalore,2015,Overseas
Dawid Malan,All-Rounder,15000000,Punjab Kings,2021,Overseas
Debabrata Das,Wicket Keeper,2000000,Kolkata Knight Riders,2014,Indian
Deepak Chahar,All-Rounder,8000000,Chennai Super Kings,2018,Indian
Deepak Hooda,All-Rounder,5000000,Kings XI Punjab,2020,Indian
Deepak Punia,All-Rounder,1000000,Mumbai Indians,2016,Indian
Devdutt Padikkal,Batsman,2000000,Royal Challengers Bangalore,2019,Indian
Dhawal Kulkarni,Bowler,7500000,Rajasthan Royals,2018,Indian
Dhruv Shorey,All-Rounder,2000000,Chennai Super Kings,2018,Indian
Digvijay Deshmukh,All-Rounder,2000000,Mumbai Indians,2020,Indian
Dinesh Karthik,Wicket Keeper,74000000,Kolkata Knight Riders,2018,Indian
Dinesh Salunkhe,All-Rounder,1000000,Rajasthan Royals,2015,Indian
Dirk Nannes,Bowler,45000000,Chennai Super Kings,2013,Overseas
Dishant Yagnik,Wicket Keeper,3000000,Rajasthan Royals,2014,Indian
Domnic Joseph Muthuswamy,Bowler,7500000,Delhi Daredevils,2015,Overseas
Dushmantha Chameera,Bowler,5000000,Rajasthan Royals,2018,Overseas
Dwayne Bravo,All-Rounder,64000000,Chennai Super Kings,2018,Overseas
Dwayne Smith,All-Rounder,23000000,Gujarat Lions,2016,Overseas
Eklavya Dwivedi,Wicket Keeper,7500000,Sunrisers Hyderabad,2017,Indian
Eoin Morgan,Batsman,52500000,Kolkata Knight Riders,2020,Overseas
Evin Lewis,Batsman,38000000,Mumbai Indians,2018,Overseas
Fabian Allen,All-Rounder,7500000,Punjab Kings,2021,Overseas
Faf Du Plessis,Batsman,16000000,Chennai Super Kings,2018,Overseas
Farhaan Behardien,All-Rounder,3000000,Kings XI Punjab,2016,Overseas
Fidel Edwards,Bowler,15750000,Rajasthan Royals,2013,Overseas
Gautam Gambhir,Batsman,28000000,Delhi Daredevils,2018,Indian
George Bailey,Batsman,32500000,Kings XI Punjab,2014,Overseas
Glenn Maxwell,All-Rounder,142500000,Royal Challengers Bangalore,2021,Overseas
Gurinder Sandhu,Bowler,17000000,Delhi Daredevils,2015,Indian
Gurkeerat Singh Mann,All-Rounder,5000000,Royal Challengers Bangalore,2019,Indian
HS Sharath,Bowler,1000000,Delhi Daredevils,2014,Indian
Hanuma Vihari,Batsman,20000000,Delhi Capitals,2019,Indian
Harbhajan Singh,Bowler,20000000,Kolkata Knight Riders,2021,Indian
Hardik Pandya,All-Rounder,1000000,Mumbai Indians,2015,Indian
Hardus Viljoen,Bowler,7500000,Kings XI Punjab,2019,Overseas
Harpreet Brar,All-Rounder,2000000,Kings XI Punjab,2019,Indian
Harry Gurney,Bowler,7500000,Kolkata Knight Riders,2019,Overseas
Harshal Patel,All-Rounder,2000000,Delhi Daredevils,2018,Indian
Heinrich Klaasen,Wicket Keeper,5000000,Royal Challengers Bangalore,2019,Overseas
Himmat Singh,Batsman,6500000,Royal Challengers Bangalore,2019,Indian
Imran Tahir,Bowler,10000000,Chennai Super Kings,2018,Overseas
Iqbal Abdullah,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian
Irfan Pathan,All-Rounder,10000000,Rising Pune Supergiant,2016,Indian
Ishan Kishan,Wicket Keeper,62000000,Mumbai Indians,2018,Indian
Ishank Jaggi,Batsman,2000000,Kolkata Knight Riders,2018,Indian
Ishant Sharma,Bowler,11000000,Delhi Capitals,2019,Indian
Ishwar Chandra Pandey,Bowler,2000000,Rising Pune Supergiant,2016,Indian
Isuru Udana,All-Rounder,5000000,Royal Challengers Bangalore,2020,Overseas
J Suchith,Bowler,3000000,Sunrisers Hyderabad,2021,Indian
Jacob Oram,All-Rounder,3750000,Mumbai Indians,2013,Overseas
Jacques Kallis,All-Rounder,55000000,Kolkata Knight Riders,2014,Overseas
Jalaj Saxena,All-Rounder,3000000,Punjab Kings,2021,Indian
James Faulkner,All-Rounder,30000000,Rajasthan Royals,2013,Overseas
James Neesham,All-Rounder,5000000,Mumbai Indians,2021,Overseas
Jaskaran Singh,Bowler,1000000,Rising Pune Supergiant,2016,Indian
Jason Behrendorff,Bowler,15000000,Mumbai Indians,2018,Overseas
Jason Holder,All-Rounder,7000000,Kolkata Knight Riders,2016,Overseas
Jason Roy,Batsman,15000000,Delhi Capitals,2020,Overseas
Jasprit Bumrah,Bowler,12000000,Mumbai Indians,2014,Indian
Jatin Saxena,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Javon Searless,All-Rounder,3000000,Kolkata Knight Riders,2018,Indian
Jayant Yadav,All-Rounder,5000000,Delhi Daredevils,2018,Indian
Jaydev Shah,All-Rounder,2000000,Gujarat Lions,2016,Indian
Jaydev Unadkat,Bowler,30000000,Rajasthan Royals,2020,Indian
Jean-Paul Duminy,All-Rounder,10000000,Mumbai Indians,2018,Overseas
Jeevan Mendis,All-Rounder,3750000,Delhi Daredevils,2013,Overseas
Jesse Ryder,All-Rounder,19500000,Delhi Daredevils,2013,Overseas
Jhye Richardson,Bowler,140000000,Punjab Kings,2021,Overseas
Jitesh Sharma,Wicket Keeper,1000000,Mumbai Indians,2016,Indian
Joe Denly,Batsman,10000000,Kolkata Knight Riders,2019,Overseas
Joel Paris,Bowler,3000000,Delhi Daredevils,2016,Overseas
Jofra Archer,All-Rounder,72000000,Rajasthan Royals,2018,Overseas
Johan Botha,All-Rounder,33750000,Delhi Daredevils,2013,Overseas
John Hastings,Bowler,13000000,Kolkata Knight Riders,2016,Overseas
Jonny Bairstow,Wicket Keeper,22000000,Sunrisers Hyderabad,2019,Overseas
Jos Buttler,Wicket Keeper,44000000,Rajasthan Royals,2018,Overseas
Josh Hazlewood,Bowler,20000000,Chennai Super Kings,2020,Overseas
Joshua Philippe,Wicket Keeper,2000000,Royal Challengers Bangalore,2020,Overseas
Juan Theron,Bowler,3000000,Rajasthan Royals,2015,Overseas
K.Bhagath Varma,All-Rounder,2000000,Chennai Super Kings,2021,Indian
K.C Cariappa,Bowler,2000000,Rajasthan Royals,2021,Indian
K.C. Cariappa,Bowler,8000000,Kings XI Punjab,2016,Indian
K.K. Jiyaz,Bowler,1000000,Delhi Daredevils,2015,Indian
KL Rahul,Batsman,110000000,Kings XI Punjab,2018,Indian
Kagiso Rabada,Bowler,42000000,Delhi Daredevils,2018,Overseas
Kamlesh Nagarkoti,All-Rounder,32000000,Kolkata Knight Riders,2018,Indian
Kane Richardson,Bowler,40000000,Royal Challengers Bangalore,2020,Overseas
Kane Williamson,Batsman,30000000,Sunrisers Hyderabad,2018,Overseas
Kanishk Seth,All-Rounder,2000000,Chennai Super Kings,2018,Indian
Karanveer Singh,All-Rounder,1000000,Kings XI Punjab,2014,Indian
Karn Sharma,Bowler,50000000,Chennai Super Kings,2018,Indian
Kartik Tyagi,Bowler,13000000,Rajasthan Royals,2020,Indian
Karun Nair,Batsman,5000000,Kolkata Knight Riders,2021,Indian
Kedar Jadhav,All-Rounder,20000000,Sunrisers Hyderabad,2021,Indian
Keemo Paul,All-Rounder,5000000,Delhi Capitals,2019,Overseas
Kevin Pietersen,Batsman,35000000,Rising Pune Supergiant,2016,Overseas
Kevon Cooper,All-Rounder,3000000,Rajasthan Royals,2014,Overseas
Kieron Pollard,All-Rounder,54000000,Mumbai Indians,2018,Overseas
Kishore Pramod Kamath,All-Rounder,14000000,Mumbai Indians,2016,Indian
Kona Srikar Bharat,Wicket Keeper,2000000,Royal Challengers Bangalore,2021,Indian
Krishnappa Gowtham,All-Rounder,92500000,Chennai Super Kings,2021,Indian
Krismar Santokie,Bowler,3000000,Mumbai Indians,2014,Overseas
Krunal Pandya,All-Rounder,88000000,Mumbai Indians,2018,Indian
Kshitiz Sharma,All-Rounder,2000000,Chennai Super Kings,2018,Indian
Kuldeep Yadav,Bowler,58000000,Kolkata Knight Riders,2018,Indian
Kuldip Yadav,Bowler,2000000,Rajasthan Royals,2021,Indian
Kulwant Khejroliya,Bowler,8500000,Royal Challengers Bangalore,2018,Indian
Kusal Janith Perera,Wicket Keeper,1500000,Rajasthan Royals,2013,Indian
Kyle Abbott,Bowler,21000000,Kings XI Punjab,2016,Overseas
Kyle Jamieson,All-Rounder,150000000,Royal Challengers Bangalore,2021,Overseas
Lakshmipathy Balaji,Bowler,18000000,Kings XI Punjab,2014,Indian
Lalit Yadav,All-Rounder,2000000,Delhi Capitals,2020,Indian
Lasith Malinga,Bowler,20000000,Mumbai Indians,2019,Overseas
Laxmi Ratan Shukla,All-Rounder,3000000,Sunrisers Hyderabad,2015,Indian
Liam Livingstone,All-Rounder,7500000,Rajasthan Royals,2021,Overseas
Lockie Ferguson,Bowler,16000000,Kolkata Knight Riders,2019,Overseas
Luke Pomersbach,Batsman,22500000,Kings XI Punjab,2013,Overseas
Lukman Hussain Meriwala,Bowler,2000000,Delhi Capitals,2021,Indian
Lungisani Ngidi,Bowler,5000000,Chennai Super Kings,2018,Overseas
M Siddharth,Bowler,2000000,Delhi Capitals,2021,Indian
M. Ashwin,Bowler,2000000,Kings XI Punjab,2019,Indian
M. Harisankar Reddy,Bowler,2000000,Chennai Super Kings,2021,Indian
Mahipal Lomror,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Manan Ajay Sharma,All-Rounder,1000000,Kolkata Knight Riders,2016,Indian
Manan Vohra,Batsman,2000000,Rajasthan Royals,2019,Indian
