player,number_of_not_outs,tot_runs,highest_score,tot_balls_faced,number_of_hundreds,number_of_fifties,number_of_fours,number_of_sixes,batting_average,batting_strike_rate,number_of_overs,runs,wickets,number_of_four_fers,number_of_five_fers,max_number_of_wickets_per_match,number_of_balls_bowled,bowling_average,bowling_strike_rate,total_matches,total_innings,role,amount,player_origin,player_id
ishan kishan,5.0,1452.0,99.0,1065.0,0.0,9.0,121.0,74.0,23.803278688524593,136.33802816901408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,56.0,Wicket Keeper,62000000.0,Indian,1b497c46-d9f2-4d97-95b7-f5a13834ca73
ishank jaggi,1.0,33.0,28.0,39.0,0.0,0.0,3.0,0.0,16.5,84.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Batsman,2000000.0,Indian,7b7d65fc-c215-446b-8fab-ec321039c03f
ishant sharma,4.0,18.0,10.0,15.0,0.0,0.0,2.0,1.0,0.9473684210526316,120.0,73.0,594.0,17.0,0.0,0.0,5.0,438.0,34.94117647058823,25.764705882352946,20.0,20.0,Bowler,11000000.0,Indian,8dbdcd6a-2eaa-4b21-8d32-34caf7910811
isuru udana,1.0,15.0,10.0,11.0,0.0,0.0,1.0,1.0,1.5,136.36363636363637,29.0,282.0,8.0,0.0,0.0,2.0,174.0,35.25,21.75,10.0,10.0,All-Rounder,5000000.0,Overseas,99cee036-9688-45cb-aa74-1dcbb6424a06
james faulkner,4.0,131.0,32.0,116.0,0.0,0.0,11.0,0.0,8.733333333333333,112.93103448275862,43.0,425.0,8.0,0.0,0.0,5.0,258.0,53.125,32.25,15.0,15.0,All-Rounder,30000000.0,Overseas,8075d1cf-1068-4014-be26-c68fde1eb01a
jason holder,3.0,173.0,47.0,144.0,0.0,0.0,9.0,10.0,9.105263157894736,120.13888888888889,73.0,583.0,32.0,1.0,0.0,4.0,438.0,18.21875,13.6875,19.0,19.0,All-Rounder,7000000.0,Overseas,d971e5c0-f0d7-4d5d-a6ff-a69e83e5ac49
jason roy,2.0,329.0,91.0,255.0,0.0,2.0,39.0,9.0,25.307692307692307,129.01960784313724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,Batsman,15000000.0,Overseas,08d8d334-7f57-4ab7-af95-78dc7e1a8cc1
jasprit bumrah,13.0,55.0,16.0,55.0,0.0,0.0,4.0,1.0,0.6179775280898876,100.0,341.0,2440.0,119.0,2.0,0.0,4.0,2046.0,20.50420168067227,17.19327731092437,89.0,89.0,Bowler,12000000.0,Indian,add1301e-4a0c-45d0-8343-7a9f89d11e0e
jayant yadav,1.0,40.0,23.0,36.0,0.0,0.0,2.0,1.0,4.0,111.11111111111111,48.0,348.0,6.0,0.0,0.0,1.0,288.0,58.0,48.0,14.0,14.0,All-Rounder,5000000.0,Indian,b3afb3a2-4497-4a1b-91e4-a71ffd54556d
jaydev unadkat,9.0,102.0,26.0,88.0,0.0,0.0,9.0,3.0,2.0,115.90909090909092,178.0,1602.0,53.0,0.0,1.0,5.0,1068.0,30.22641509433962,20.150943396226417,51.0,51.0,Bowler,30000000.0,Indian,db1db81e-9f89-4c75-9115-880856d9dfb1
jhye richardson,0.0,15.0,15.0,24.0,0.0,0.0,2.0,0.0,5.0,62.5,11.0,117.0,3.0,0.0,0.0,2.0,66.0,39.0,22.0,3.0,3.0,Bowler,140000000.0,Overseas,cbcfbad1-e0a3-4501-8c10-b5a48133af1b
joe denly,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Batsman,10000000.0,Overseas,dd4046f5-791f-46a4-a354-c86a171176c6
jofra archer,10.0,195.0,27.0,124.0,0.0,0.0,11.0,14.0,5.571428571428571,157.25806451612905,137.0,981.0,46.0,0.0,0.0,3.0,822.0,21.32608695652174,17.869565217391305,35.0,35.0,All-Rounder,72000000.0,Overseas,bb8536fb-668a-434c-a6b2-f9344443d828
jonny bairstow,3.0,1038.0,114.0,730.0,1.0,7.0,99.0,46.0,37.07142857142857,142.1917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,Wicket Keeper,22000000.0,Overseas,1f4f5d17-2944-4982-be29-ffafddeacc9c
jos buttler,8.0,1968.0,124.0,1312.0,1.0,11.0,194.0,90.0,30.27692307692308,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,64.0,Wicket Keeper,44000000.0,Overseas,f3a7dd1d-5636-4a1d-aa6a-a188648e035e
kl rahul,13.0,2945.0,132.0,2094.0,2.0,27.0,258.0,126.0,42.68115942028986,140.639923591213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,67.0,Batsman,110000000.0,Indian,5b9af6a4-037b-4e7f-9aa6-a80fc6796d57
kagiso rabada,7.0,138.0,44.0,134.0,0.0,0.0,11.0,4.0,2.76,102.98507462686568,189.0,1560.0,76.0,2.0,0.0,4.0,1134.0,20.526315789473685,14.921052631578949,50.0,50.0,Bowler,42000000.0,Overseas,14ad03ca-9524-446c-9810-0f0a19675977
kamlesh nagarkoti,3.0,22.0,8.0,33.0,0.0,0.0,1.0,0.0,2.0,66.66666666666666,26.0,231.0,5.0,0.0,0.0,2.0,156.0,46.2,31.2,11.0,9.0,All-Rounder,32000000.0,Indian,96a32fa6-9ff8-43b9-a33a-cc09a15ff994
kane richardson,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,100.0,17.0,165.0,8.0,0.0,0.0,3.0,102.0,20.625,12.75,5.0,5.0,Bowler,40000000.0,Overseas,d7d9090f-7e5d-4dbe-9d82-6549817092ae
kane williamson,14.0,1854.0,89.0,1409.0,0.0,17.0,165.0,55.0,30.393442622950815,131.58268275372603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,60.0,Batsman,30000000.0,Overseas,37ae752b-ee5b-4ce2-a005-684d06110f62
karn sharma,3.0,85.0,26.0,71.0,0.0,0.0,8.0,3.0,6.071428571428571,119.71830985915491,61.0,501.0,23.0,1.0,0.0,4.0,366.0,21.782608695652176,15.91304347826087,21.0,20.0,Bowler,50000000.0,Indian,3934475e-a10f-42fa-882e-fd36ed3f5a0f
kartik tyagi,3.0,6.0,2.0,10.0,0.0,0.0,0.0,0.0,0.4285714285714285,60.0,52.0,491.0,13.0,0.0,0.0,2.0,312.0,37.76923076923077,24.0,14.0,14.0,Bowler,13000000.0,Indian,30d10725-2440-40a9-bc25-b78249c13665
karun nair,3.0,960.0,83.0,764.0,0.0,6.0,104.0,25.0,20.869565217391305,125.6544502617801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,41.0,Batsman,5000000.0,Indian,bf4542dc-44a2-42d8-897a-a2076b8bf772
kedar jadhav,11.0,612.0,69.0,527.0,0.0,2.0,56.0,19.0,13.304347826086955,116.12903225806453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,39.0,All-Rounder,20000000.0,Indian,bc7fe752-e718-4e9c-b6a7-0fb3d12b20b4
keemo paul,1.0,18.0,7.0,24.0,0.0,0.0,1.0,1.0,2.25,75.0,27.0,237.0,9.0,0.0,0.0,3.0,162.0,26.33333333333333,18.0,8.0,8.0,All-Rounder,5000000.0,Overseas,0845670e-4d7a-4b5a-8cf7-569448dc8007
kevin pietersen,2.0,73.0,37.0,61.0,0.0,0.0,4.0,3.0,18.25,119.67213114754098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,Batsman,35000000.0,Overseas,0fae6ff0-ae8e-4f73-9b5b-88a28c05825e
kieron pollard,26.0,1517.0,87.0,1003.0,0.0,8.0,92.0,105.0,17.847058823529412,151.24626121635097,34.0,285.0,9.0,0.0,0.0,4.0,204.0,31.666666666666668,22.666666666666668,85.0,75.0,All-Rounder,54000000.0,Overseas,be7b2099-e9bd-4923-95e7-4239afc20afd
krishnappa gowtham,6.0,186.0,33.0,110.0,0.0,0.0,13.0,12.0,7.75,169.0909090909091,68.0,562.0,13.0,0.0,0.0,2.0,408.0,43.23076923076923,31.384615384615383,24.0,24.0,All-Rounder,92500000.0,Indian,2a9005cd-19f9-46ce-b2d4-bfccc472ef90
krunal pandya,22.0,1143.0,86.0,825.0,0.0,1.0,105.0,46.0,13.607142857142856,138.54545454545456,240.0,1773.0,51.0,0.0,0.0,3.0,1440.0,34.76470588235294,28.235294117647054,84.0,81.0,All-Rounder,88000000.0,Indian,cc81424e-4f18-46c9-8167-e43c473842f5
kuldeep yadav,5.0,57.0,16.0,75.0,0.0,0.0,5.0,0.0,1.3571428571428572,76.0,149.0,1236.0,40.0,1.0,0.0,4.0,894.0,30.9,22.35,45.0,43.0,Bowler,58000000.0,Indian,4cc633ae-2d6d-417d-990d-b1e7aadae046
kuldip yadav,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Bowler,2000000.0,Indian,29f52a87-d7d0-4dcc-b114-25187b895221
kyle abbott,2.0,13.0,12.0,8.0,0.0,0.0,0.0,1.0,2.6,162.5,16.0,177.0,2.0,0.0,0.0,1.0,96.0,88.5,48.0,5.0,5.0,Bowler,21000000.0,Overseas,8b305029-15af-4bdf-ae65-ed9c3f572e7f
kyle jamieson,3.0,65.0,16.0,55.0,0.0,0.0,5.0,3.0,7.222222222222222,118.18181818181819,28.0,269.0,9.0,0.0,0.0,3.0,168.0,29.88888888888889,18.666666666666668,9.0,9.0,All-Rounder,150000000.0,Overseas,db0b61ec-0097-49ee-94a9-6bb7ee74db39
lalit yadav,3.0,68.0,22.0,73.0,0.0,0.0,7.0,0.0,9.714285714285714,93.15068493150686,14.0,101.0,4.0,0.0,0.0,2.0,84.0,25.25,21.0,7.0,5.0,All-Rounder,2000000.0,Indian,e73406f4-f0fe-4d4f-b180-0d69038df16b
lasith malinga,2.0,7.0,7.0,3.0,0.0,0.0,0.0,1.0,0.5833333333333333,233.33333333333331,90.0,820.0,27.0,2.0,0.0,5.0,540.0,30.37037037037037,20.0,24.0,24.0,Bowler,20000000.0,Overseas,867bd7a9-2041-47e0-a688-a9dc78d38dfb
liam livingstone,1.0,113.0,44.0,89.0,0.0,0.0,9.0,6.0,12.555555555555555,126.96629213483146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,All-Rounder,7500000.0,Overseas,ccbf19f9-2fca-4328-8291-5a5cee36ef40
lockie ferguson,6.0,62.0,24.0,41.0,0.0,0.0,5.0,2.0,3.647058823529412,151.21951219512195,80.0,648.0,24.0,0.0,0.0,3.0,480.0,27.0,20.0,22.0,22.0,Bowler,16000000.0,Overseas,390ad0a5-038e-4274-a34d-f36fdb59680d
mahipal lomror,2.0,181.0,47.0,151.0,0.0,0.0,8.0,9.0,16.454545454545453,119.86754966887416,7.0,47.0,1.0,0.0,0.0,1.0,42.0,47.0,42.0,11.0,10.0,All-Rounder,2000000.0,Indian,b4f2db19-d840-47b5-8642-1741cae54a0e
manan vohra,0.0,487.0,95.0,376.0,0.0,2.0,49.0,18.0,18.730769230769234,129.52127659574467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,Batsman,2000000.0,Indian,8bcae49d-9ede-4839-b018-acfc139376e0
mandeep singh,12.0,750.0,66.0,606.0,0.0,2.0,59.0,23.0,16.304347826086957,123.76237623762376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,43.0,All-Rounder,14000000.0,Indian,c516ce75-859f-4b76-baae-497f55d22cf3
manish pandey,17.0,1989.0,83.0,1569.0,0.0,16.0,157.0,60.0,25.83116883116883,126.76864244741874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,71.0,Batsman,110000000.0,Indian,4439a3c8-157e-4d20-a3e9-94e36834754b
manoj tiwary,4.0,371.0,60.0,280.0,0.0,2.0,35.0,12.0,18.55,132.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,Batsman,10000000.0,Indian,74c1f992-c8b7-48f9-b15e-5ed88d56c734
marco jansen,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0,2.0,0.0,0.0,2.0,36.0,22.5,18.0,2.0,2.0,All-Rounder,2000000.0,Overseas,08c3640a-5381-4001-b2cd-d079c1918d5a
marcus stoinis,16.0,914.0,65.0,673.0,0.0,4.0,76.0,35.0,16.321428571428573,135.80980683506687,100.0,969.0,30.0,1.0,0.0,4.0,600.0,32.3,20.0,56.0,49.0,All-Rounder,48000000.0,Overseas,092d4a5d-9e8e-44d7-9180-8b849596dd6c
mark wood,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Bowler,15000000.0,Overseas,f9557433-5da7-4dcb-9b05-f827c1f3c8d6
martin guptill,1.0,270.0,50.0,196.0,0.0,1.0,24.0,15.0,20.769230769230766,137.75510204081633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,Batsman,10000000.0,Overseas,fa2a2fe3-44aa-4c14-825d-35f8f456b221
mayank agarwal,2.0,1370.0,106.0,965.0,1.0,8.0,127.0,53.0,25.849056603773583,141.96891191709844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,Batsman,10000000.0,Indian,17991716-2875-4154-afb7-398167523e31
mayank markande,5.0,27.0,7.0,29.0,0.0,0.0,3.0,0.0,1.5882352941176472,93.10344827586208,50.0,427.0,16.0,1.0,0.0,4.0,300.0,26.6875,18.75,17.0,17.0,Bowler,2000000.0,Indian,6058354d-ea6b-4c00-97dd-639ed6bfa848
mitchell johnson,6.0,41.0,13.0,42.0,0.0,0.0,3.0,1.0,2.928571428571429,97.61904761904762,52.0,463.0,11.0,0.0,0.0,3.0,312.0,42.09090909090909,28.363636363636363,14.0,14.0,Bowler,20000000.0,Overseas,62716953-5916-420f-acb0-e29c4d5ae610
mitchell marsh,0.0,7.0,7.0,12.0,0.0,0.0,0.0,0.0,1.75,58.33333333333333,9.0,45.0,4.0,0.0,0.0,4.0,54.0,11.25,13.5,4.0,3.0,All-Rounder,20000000.0,Overseas,719eb9f4-47a9-4ef4-99b3-1b792fd84b79
mitchell mcclenaghan,9.0,72.0,20.0,64.0,0.0,0.0,5.0,5.0,1.6363636363636365,112.5,165.0,1417.0,53.0,1.0,0.0,4.0,990.0,26.73584905660377,18.67924528301887,44.0,44.0,Bowler,3000000.0,Overseas,9b501651-0848-46ef-8161-b2a1a3bb9c24
mitchell santner,1.0,32.0,22.0,23.0,0.0,0.0,0.0,3.0,8.0,139.1304347826087,21.0,147.0,6.0,0.0,0.0,2.0,126.0,24.5,21.0,6.0,6.0,All-Rounder,5000000.0,Overseas,b3548d5b-d232-4b8b-a69c-3b73ab9f3150
moeen ali,3.0,666.0,66.0,455.0,0.0,4.0,52.0,42.0,19.58823529411765,146.37362637362637,68.0,469.0,16.0,0.0,0.0,3.0,408.0,29.3125,25.5,34.0,32.0,All-Rounder,70000000.0,Overseas,bf574e1b-0d2b-40eb-b258-9ae5b0c4ba9a
mohammad nabi,2.0,180.0,31.0,119.0,0.0,0.0,16.0,9.0,10.588235294117649,151.26050420168067,53.0,385.0,13.0,1.0,0.0,4.0,318.0,29.615384615384617,24.46153846153846,17.0,16.0,All-Rounder,10000000.0,Overseas,6f82de78-aa2d-4418-b744-4e8ed23bb97f
mohammad shami,10.0,61.0,21.0,56.0,0.0,0.0,5.0,2.0,0.9838709677419354,108.92857142857144,224.0,1955.0,71.0,0.0,0.0,3.0,1344.0,27.535211267605632,18.92957746478873,62.0,62.0,Bowler,48000000.0,Indian,24d5b6f2-0406-44cf-8f1e-9decaa706182
mohammed siraj,10.0,66.0,14.0,76.0,0.0,0.0,5.0,2.0,1.5,86.84210526315789,171.0,1437.0,50.0,1.0,0.0,4.0,1026.0,28.74,20.52,50.0,50.0,Bowler,26000000.0,Indian,5451983b-8dfb-448b-a9d1-79744a952fb8
mohit sharma,7.0,93.0,15.0,91.0,0.0,0.0,7.0,2.0,2.447368421052632,102.1978021978022,129.0,1211.0,35.0,0.0,0.0,4.0,774.0,34.6,22.114285714285717,39.0,39.0,Bowler,5000000.0,Indian,c1efd483-446c-4f6c-9652-e140076bed75
moises henriques,10.0,490.0,55.0,393.0,0.0,3.0,43.0,11.0,14.411764705882351,124.6819338422392,86.0,708.0,17.0,0.0,0.0,3.0,516.0,41.64705882352941,30.352941176470587,34.0,34.0,All-Rounder,42000000.0,Overseas,0a01bc64-7526-42c7-a142-07bb51d4844d
morne morkel,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,100.0,35.0,297.0,10.0,0.0,0.0,4.0,210.0,29.7,21.0,10.0,10.0,Bowler,28000000.0,Overseas,921fadf9-11e2-4dea-8f2f-8457505376e3
munaf patel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,57.0,1.0,0.0,0.0,5.0,42.0,57.0,42.0,2.0,2.0,Bowler,3000000.0,Indian,0d78dfa4-b922-4745-8fbc-79b816521a10
murali vijay,1.0,561.0,89.0,478.0,0.0,5.0,60.0,12.0,28.05,117.36401673640168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,Batsman,20000000.0,Indian,4e384d87-d0f6-4969-bb9c-d17dd696f598
mustafizur rahman,6.0,9.0,8.0,17.0,0.0,0.0,0.0,1.0,0.4285714285714285,52.94117647058824,140.0,1087.0,38.0,0.0,0.0,3.0,840.0,28.605263157894736,22.105263157894736,37.0,37.0,Bowler,10000000.0,Overseas,5628bd86-98cf-4af5-8245-36cba32bc10b
naman ojha,4.0,216.0,37.0,207.0,0.0,0.0,9.0,8.0,6.75,104.34782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,Wicket Keeper,14000000.0,Indian,853a2d14-a799-4396-bfa8-9157646703cf
nathan coulter-nile,3.0,52.0,24.0,46.0,0.0,0.0,5.0,2.0,2.166666666666667,113.04347826086956,89.0,675.0,30.0,1.0,0.0,4.0,534.0,22.5,17.8,24.0,24.0,Bowler,50000000.0,Overseas,580623ca-2fa9-42c5-9a18-9ac98959b802
navdeep saini,3.0,31.0,12.0,35.0,0.0,0.0,3.0,0.0,1.1071428571428572,88.57142857142857,93.0,776.0,17.0,0.0,0.0,2.0,558.0,45.64705882352941,32.8235294117647,28.0,26.0,Bowler,30000000.0,Indian,c94f6716-b306-4aa7-8ac2-ec0093e4eb95
nitish rana,7.0,1820.0,87.0,1374.0,0.0,13.0,161.0,89.0,23.63636363636364,132.45997088791847,14.0,116.0,7.0,0.0,0.0,2.0,84.0,16.571428571428573,12.0,77.0,71.0,All-Rounder,34000000.0,Indian,ff827ad1-0354-4efc-bc6f-751d1f564fa8
parthiv patel,1.0,1098.0,81.0,822.0,0.0,6.0,140.0,26.0,23.869565217391305,133.57664233576642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,Wicket Keeper,17000000.0,Indian,596781aa-b5d2-490a-be52-139187669db6
parveez rasool,0.0,10.0,10.0,9.0,0.0,0.0,1.0,0.0,2.5,111.11111111111111,14.0,129.0,1.0,0.0,0.0,1.0,84.0,129.0,84.0,4.0,4.0,All-Rounder,9500000.0,Indian,31286b66-4e3b-41d7-9834-c799476cdce5
pat cummins,10.0,316.0,66.0,223.0,0.0,2.0,19.0,20.0,9.575757575757578,141.70403587443946,125.0,1019.0,36.0,1.0,0.0,4.0,750.0,28.30555555555556,20.83333333333333,33.0,33.0,All-Rounder,155000000.0,Overseas,a8002eb4-c7b7-4be2-817f-05fd3ab61b24
pawan negi,6.0,213.0,35.0,187.0,0.0,0.0,13.0,10.0,7.344827586206896,113.90374331550802,56.0,432.0,21.0,0.0,0.0,4.0,336.0,20.571428571428573,16.0,29.0,23.0,All-Rounder,5000000.0,Indian,977635e2-ee70-4354-b5e0-3c4b0f60f8b6
peter handscomb,0.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Wicket Keeper,3000000.0,Overseas,f436e3e8-1f71-417f-91c5-78b28d99293c
piyush chawla,5.0,98.0,14.0,105.0,0.0,0.0,9.0,3.0,2.0851063829787235,93.33333333333331,173.0,1492.0,48.0,0.0,0.0,4.0,1038.0,31.08333333333333,21.625,54.0,53.0,Bowler,24000000.0,Indian,49e29c91-8e06-43bd-b24f-a8fa0c1a54ca
prabhsimran singh,0.0,50.0,16.0,55.0,0.0,0.0,4.0,2.0,10.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,Wicket Keeper,5500000.0,Indian,49696534-fd3b-4c00-8caa-8adb307e7f2a
pradeep sangwan,1.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.3333333333333333,25.0,18.0,181.0,5.0,0.0,0.0,3.0,108.0,36.2,21.6,6.0,5.0,Bowler,15000000.0,Indian,04675bd9-7886-4e6b-aed3-f5ad0514ca36
prashant chopra,0.0,8.0,8.0,6.0,0.0,0.0,2.0,0.0,8.0,133.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Wicket Keeper,2000000.0,Indian,e12f2639-7d34-4428-b9c2-443ff7d543ec
praveen kumar,4.0,36.0,15.0,36.0,0.0,0.0,4.0,0.0,1.6363636363636365,100.0,67.0,552.0,15.0,0.0,0.0,3.0,402.0,36.8,26.8,22.0,22.0,Bowler,35000000.0,Indian,775dc4fa-7043-45d6-95fa-d42dc10c32db
pravin tambe,1.0,7.0,7.0,19.0,0.0,0.0,1.0,0.0,1.0,36.84210526315789,16.0,143.0,5.0,0.0,0.0,4.0,96.0,28.6,19.2,7.0,7.0,Bowler,2000000.0,Indian,b1c9a4ac-22c0-430b-8006-8f29f6f76968
prayas ray barman,0.0,19.0,19.0,24.0,0.0,0.0,2.0,0.0,19.0,79.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,All-Rounder,15000000.0,Indian,cc9f005f-5264-4200-9685-283006118a38
prithvi raj yarra,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,1.0,0.0,0.0,1.0,30.0,57.0,30.0,2.0,2.0,Bowler,2000000.0,Indian,6ea93a9b-d503-47b1-986a-6027aeab29cd
prithvi shaw,0.0,1305.0,99.0,892.0,0.0,10.0,155.0,45.0,24.62264150943396,146.30044843049328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,Batsman,12000000.0,Indian,2451eb52-fa22-4758-a396-50cf5ca14bce
